LABELS;S_3;S_2;S_5;S_13;S_14;C_3;C_2;C_5;S_11;S_9;C_13;S_10;C_11;C_14;C_9;S_8;S_12;C_10;S_0;C_8;S_1;C_0;S_4;S_6;S_7;C_7;C_12;C_1;C_6;C_4
JOB ID;3;2;5;13;14;3;2;5;11;9;13;10;11;14;9;8;12;10;0;8;1;0;4;6;7;7;12;1;6;4
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1
TIME;0.5306863722911166;1.75;2.0942391304347825;2.0942391304347825;2.0942391304347825;3.850410111771327;4.75;5.01;5.01;6.73;6.73;6.730000000000001;6.730000000000001;6.730000000000001;8.501140418929403;8.501140418929406;10.749999999999998;10.75;12.36;12.36;14.350580110958287;14.777212516169163;14.777212516169163;14.777212516169163;14.777212516169163;16.29392202773729;16.29392202773729;16.37;19.52;21.65
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.49799366412691;4.902006335872954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.493476996380991;18.996982430861557;0.0;0.0;0.0;0.0;2.0495405727574507;0.0;0.0;0.0
RESOURCE JOB 2;0.0;12.970930434782616;7.8325225767609865;0.0;0.0;33.8965469884564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;21.41114730256799;4.241026086956509;12.187826610475618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.404627249357347;0.0;0.0;0.0;0.0;0.5218948897222049;21.60900000000001;46.984477860920435;0.0
RESOURCE JOB 5;0.0;0.0;6.462709211318484;0.0;0.0;3.3104907886815162;0.9568000000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.285536849344226;0.0;0.0;0.0;0.0;1.2324631506559172;86.5619999999999;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.599999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.461332350659404;-1.1368683772161603e-13;15.888667649340704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.49000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.06702094647015;0.0;0.0;18.38297905352985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.894522139079555;0.0;0.0;23.031011883787386;4.936136928289841;17.548329048843215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;20.613725668795738;0.0;0.0;4.96067433120426;6.780799999999999;0.0;4.884800000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;40.71176499947638;0.0;0.0;0.8006350005235188;5.262400000000014;0.0;39.13520000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
