LABELS;S_2;S_12;S_6;S_8;S_1;C_12;C_2;S_0;C_1;S_3;C_6;S_7;C_8;S_5;C_0;C_3;S_13;C_5;C_7;S_14;S_10;C_13;S_11;S_9;C_14;C_10;C_9;S_4;C_11;C_4
JOB ID;2;12;6;8;1;12;2;0;1;3;6;7;8;5;0;3;13;5;7;14;10;13;11;9;14;10;9;4;11;4
EVENT TYPE;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0;1;1
TIME;0.0;0.0;1.812547967479678;2.11;2.8899999999999992;3.8;3.8000000000000003;5.815800000000003;5.815800000000003;5.815800000000003;5.815800000000003;5.815800000000003;5.815800000000003;5.815800000000004;8.01;9.077604049493818;9.532149046793792;10.649999999999999;10.649999999999999;11.781852623488668;12.520400432900438;12.520400432900438;13.66965658135137;13.785809617271832;13.785809617271832;13.785809617271836;16.46;17.2316740800647;17.2316740800647;19.41
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.080000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;1.210300000000001;86.5697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;66.97364739837411;0.0;8.182905414634053;8.271547186991839;0.08190000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.93799999999989;0.0;18.982000000000113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.87;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.691999999999993;0.0;23.96771091113621;10.204535189384444;25.09575389947932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;2.8079471869918393;4.796999999999995;5.596500000000006;11.41855281300816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.430491563554597;12.522714675614282;24.346793760831147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;19.344752813008135;31.71349999999999;2.8017471869919746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.75;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.84143980824239;0.0;2.3985601917576105;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2568534879345634;0.0;51.959519136408346;0.0;14.99362737565707;0.0;0.0;0.0
RESOURCE JOB 12;23.6537509756098;0.0;3.8817490243901993;6.5867;6.897800000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.449999999999804;0.0;41.8332729641412;27.296727035858964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.326394269364755;8.621367614304297;0.0;1.152238116330997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
