LABELS;S_0;S_5;S_10;S_14;S_9;S_8;C_14;C_5;C_0;C_8;S_13;S_1;C_9;C_10;S_12;S_11;C_12;C_1;S_3;C_13;S_4;C_3;S_2;C_11;S_7;C_2;S_6;C_7;C_4;C_6
JOB ID;0;5;10;14;9;8;14;5;0;8;13;1;9;10;12;11;12;1;3;13;4;3;2;11;7;2;6;7;4;6
EVENT TYPE;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1
TIME;0.0;0.55;0.55;2.609999999000004;2.61;4.962386818561784;4.962386818561784;5.332557782835145;7.94;7.94;7.94;7.940000000000001;7.940000000000001;7.940000000000001;7.940000000000001;9.152834377163723;9.152834377163723;11.80831599397123;11.80831599397123;11.80831599397123;13.620000000000001;14.240105462979479;14.255540450189438;14.255540450189438;15.528449745463375;15.79;16.03;16.6;19.76444079844582;19.76444079844582
RESOURCE JOB 0;3.2784317527139777;0.0;46.67959997734008;9.903548510355094;0.0;0.0;1.5584197595908478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.57026296405877;0.0;21.509737035941157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.115440078941546;0.0;5.594559921058458;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0925670534167;0.0;0.0;10.777432946583296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.181141025084713;0.34744156209615085;6.53002468475529;0.0;1.3417528057728845;1.2312000000000154;11.531100000000109;74.53733992229084;0.0;0.0
RESOURCE JOB 5;0.0;0.0;17.68256825285588;5.363441948600858;0.0;0.0;0.8439897985432623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5853000000000037;83.68469999999999;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1411999999999445;5.635200000000054;13.383600000000001;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;14.88457447343182;69.93542552656817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;7.931766593466449;-2.191991654854064e-08;0.0;0.4331000281998314;57.15513340025363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;22.6394;5.010583925666591;-1.0989953835860433e-08;0.0;0.7884641539022592;3.281551931421104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.155799698561452;0.0;49.80319332573089;0.0;0.0;17.04669917730581;0.4243077984017418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.721455894127303;0.0;88.10854410587271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;89.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
