n;r;k;i;timelimit;time;objective
5;50.00;2;0;3600;0.4252254390157759;12.42
5;50.00;2;1;3600;0.4432123610749841;9.74
5;50.00;2;2;3600;1.0314146592281759;13.079999999999998
5;50.00;2;3;3600;0.6742134364321828;6.37
5;50.00;3;0;3600;0.3859509569592774;15.27
5;50.00;3;1;3600;0.3202072447165847;12.489999999999998
5;50.00;3;2;3600;0.3886982467956841;17.080000000000002
5;50.00;3;3;3600;0.8520699897781014;19.52
5;50.00;4;0;3600;0.9173807110637426;14.629999999999999
5;50.00;4;1;3600;12.625831936951727;16.689999999999998
5;50.00;4;2;3600;0.5083272489719093;9.19
5;50.00;4;3;3600;0.5408298578113317;10.77
10;50.00;2;0;3600;3403.320817144122;19.1
10;50.00;2;1;3600;3601.2825324558653;17.689999999999998
10;50.00;2;2;3600;3301.439980559051;15.559999999999999
10;50.00;2;3;3600;209.86945883417502;33.029999999999994
10;50.00;3;0;3600;3601.3172090649605;21.01
10;50.00;3;1;3600;3601.3122770250775;28.000000000000007
10;50.00;3;2;3600;402.73324816301465;26.409999999999997
10;50.00;3;3;3600;3601.365007685963;22.44
10;50.00;4;0;3600;41.81666477676481;27.279999999999994
10;50.00;4;1;3600;3601.432142653968;26.61
10;50.00;4;2;3600;3601.307498686947;30.6
10;50.00;4;3;3600;3601.5288739111274;26.110000000000007
15;50.00;2;0;3600;3472.5413220720366;45.32
15;50.00;2;1;3600;3604.1006748657674;29.679999999999996
15;50.00;2;2;3600;3604.2981615182944;-1.0
15;50.00;2;3;3600;3604.289632368833;43.17999999999999
15;50.00;3;0;3600;3604.1884681019;39.029999999999994
15;50.00;3;1;3600;3604.3889993811026;-1.0
15;50.00;3;2;3600;3604.340914980974;-1.0
15;50.00;3;3;3600;3604.338595327921;38.56
15;50.00;4;0;3600;3604.546020410955;42.68000000000001
15;50.00;4;1;3600;3604.535435636062;-1.0
15;50.00;4;2;3600;3604.7263596658595;31.570000000000007
15;50.00;4;3;3600;3604.6839123629034;-1.0
